date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:36	1107/1107	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Feb%202021%2008:28:34%20GMT	http://demo3.togdemyazilim.com/robots.txt		(from )
11:28:36	74393/74393	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202021%2008:28:35%20GMT	http://demo3.togdemyazilim.com/	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/index.html	(from )
11:28:37	133448/133448	---M-Z	200	added ('OK')	text/css	etag:%223e785459a9c5d61:0%22	http://demo3.togdemyazilim.com/css/custom.css	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/css/custom.css	(from http://demo3.togdemyazilim.com/)
11:28:38	15532/15532	---M-Z	200	added ('OK')	text/css	etag:%229517f7b3e76ad51:0%22	http://demo3.togdemyazilim.com/css/responsive.css	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/css/responsive.css	(from http://demo3.togdemyazilim.com/)
11:28:38	9030/9030	---M-Z	200	added ('OK')	text/css	etag:%22c63231b3e76ad51:0%22	http://demo3.togdemyazilim.com/css/color.css	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/css/color.css	(from http://demo3.togdemyazilim.com/)
11:28:39	64137/64137	---M-Z	200	added ('OK')	text/css	etag:%22cebffcb2e76ad51:0%22	http://demo3.togdemyazilim.com/css/all.css	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/css/all.css	(from http://demo3.togdemyazilim.com/)
11:28:39	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d79271b3e76ad51:0%22	http://demo3.togdemyazilim.com/css/owl.carousel.min.css	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/css/owl.carousel.min.css	(from http://demo3.togdemyazilim.com/)
11:28:39	121204/121204	---M-Z	200	added ('OK')	text/css	etag:%22b9ab8b3e76ad51:0%22	http://demo3.togdemyazilim.com/css/bootstrap.min.css	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/css/bootstrap.min.css	(from http://demo3.togdemyazilim.com/)
11:28:40	19888/19888	---M-Z	200	added ('OK')	text/css	etag:%22bdfbdb3e76ad51:0%22	http://demo3.togdemyazilim.com/css/prettyPhoto.css	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/css/prettyPhoto.css	(from http://demo3.togdemyazilim.com/)
11:28:41	1576/1576	---M-Z	200	added ('OK')	text/css	etag:%2290f0efb3e76ad51:0%22	http://demo3.togdemyazilim.com/css/slick.css	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/css/slick.css	(from http://demo3.togdemyazilim.com/)
11:28:41	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Feb%202021%2008:28:39%20GMT	http://admin.togdem.com/AdminPanel_Assets/img/siteicerik/9/20/logo.png	C:/My%20Web%20Sites/gunce_belediyesi_demo3/admin.togdem.com/AdminPanel_Assets/img/siteicerik/9/20/logo.8.delayed	(from http://demo3.togdemyazilim.com/)
11:28:42	19630/19630	---M--	200	added ('OK')	image/png	etag:%22f4cac8149670d51:0%22	https://admin.togdem.com/AdminPanel_Assets/img/siteicerik/9/20/logo.png	C:/My%20Web%20Sites/gunce_belediyesi_demo3/admin.togdem.com/AdminPanel_Assets/img/siteicerik/9/20/logo.png	(from http://demo3.togdemyazilim.com/)
11:28:42	35503/35503	---M-Z	200	added ('OK')	text/css	etag:%22a26e54de86ad51:0%22	http://demo3.togdemyazilim.com/js/rev-slider/css/settings.css	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/js/rev-slider/css/settings.css	(from http://demo3.togdemyazilim.com/)
11:28:42	115205/115205	---M-Z	200	added ('OK')	text/css	etag:%2240827e4de86ad51:0%22	http://demo3.togdemyazilim.com/js/rev-slider/css/layers.css	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/js/rev-slider/css/layers.css	(from http://demo3.togdemyazilim.com/)
11:28:43	59567/59567	---M-Z	200	added ('OK')	text/css	etag:%22d3a7a44de86ad51:0%22	http://demo3.togdemyazilim.com/js/rev-slider/css/navigation.css	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/js/rev-slider/css/navigation.css	(from http://demo3.togdemyazilim.com/)
11:28:44	2800/2800	---M-Z	200	added ('OK')	text/css	etag:%225eb03ed1-af0%22	https://cdnjs.cloudflare.com/ajax/libs/lightbox2/2.8.2/css/lightbox.min.css	C:/My%20Web%20Sites/gunce_belediyesi_demo3/cdnjs.cloudflare.com/ajax/libs/lightbox2/2.8.2/css/lightbox.min.css	(from http://demo3.togdemyazilim.com/)
11:28:44	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%221550076050%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/gunce_belediyesi_demo3/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from http://demo3.togdemyazilim.com/)
11:28:45	14324/14324	---M--	200	added ('OK')	image/png	etag:%22f564df36e86ad51:0%22	http://demo3.togdemyazilim.com/images/img.png	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/images/img.png	(from http://demo3.togdemyazilim.com/)
11:28:45	181/181	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Feb%202021%2008:28:43%20GMT	http://admin.togdem.com/AdminPAnel_ASsets/img/ploader.gif	C:/My%20Web%20Sites/gunce_belediyesi_demo3/admin.togdem.com/AdminPAnel_ASsets/img/ploader.10.delayed	(from http://demo3.togdemyazilim.com/)
11:28:47	43299/43299	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202021%2008:28:44%20GMT	http://demo3.togdemyazilim.com/kentrehberi	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/kentrehberi.html	(from http://demo3.togdemyazilim.com/)
11:28:49	48092/48092	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202021%2008:28:45%20GMT	http://demo3.togdemyazilim.com/home/baskan	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/home/baskan.html	(from http://demo3.togdemyazilim.com/)
11:28:49	141766/141766	---M--	200	added ('OK')	image/gif	etag:%22c98b80cf8c71d51:0%22	https://admin.togdem.com/AdminPAnel_ASsets/img/ploader.gif	C:/My%20Web%20Sites/gunce_belediyesi_demo3/admin.togdem.com/AdminPAnel_ASsets/img/ploader.gif	(from http://demo3.togdemyazilim.com/)
11:28:50	46910/46910	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202021%2008:28:48%20GMT	http://demo3.togdemyazilim.com/home/baskanalbum	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/home/baskanalbum.html	(from http://demo3.togdemyazilim.com/)
11:28:51	43319/43319	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202021%2008:28:49%20GMT	http://demo3.togdemyazilim.com/home/baskanasor	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/home/baskanasor.html	(from http://demo3.togdemyazilim.com/)
11:28:51	43416/43416	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202021%2008:28:49%20GMT	http://demo3.togdemyazilim.com/home/baskanmesaji	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/home/baskanmesaji.html	(from http://demo3.togdemyazilim.com/)
11:28:51	43773/43773	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202021%2008:28:49%20GMT	http://demo3.togdemyazilim.com/home/birimler	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/home/birimler.html	(from http://demo3.togdemyazilim.com/)
11:28:52	43773/43773	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202021%2008:28:50%20GMT	http://demo3.togdemyazilim.com/home/baskanyardimcilari	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/home/baskanyardimcilari.html	(from http://demo3.togdemyazilim.com/)
11:28:52	45101/45101	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202021%2008:28:50%20GMT	http://demo3.togdemyazilim.com/home/meclisuyeleri	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/home/meclisuyeleri.html	(from http://demo3.togdemyazilim.com/)
11:28:53	45004/45004	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202021%2008:28:52%20GMT	http://demo3.togdemyazilim.com/home/encumenler	C:/My%20Web%20Sites/gunce_belediyesi_demo3/demo3.togdemyazilim.com/home/encumenler.html	(from http://demo3.togdemyazilim.com/)
